Date,Open,High,Low,Close,Adj Close,Volume
2023-04-05,3.600000,4.000000,3.400000,3.850000,3.850000,1115100
2023-04-06,3.500000,4.100000,3.400000,3.930000,3.930000,589500
2023-04-10,3.700000,3.990000,3.650000,3.880000,3.880000,167900
2023-04-11,3.730000,4.200000,3.730000,4.100000,4.100000,230000
2023-04-12,4.040000,4.280000,3.990000,4.000000,4.000000,164000
2023-04-13,3.940000,4.200000,3.750000,4.010000,4.010000,307100
2023-04-14,4.120000,4.330000,3.900000,4.330000,4.330000,174100
2023-04-17,4.400000,4.400000,4.040000,4.090000,4.090000,93900
2023-04-18,4.080000,4.100000,3.820000,3.900000,3.900000,75400
2023-04-19,4.084000,4.084000,3.800000,3.920000,3.920000,51100
2023-04-20,3.800000,4.000000,3.680000,3.850000,3.850000,21600
2023-04-21,4.000000,4.790000,3.760000,4.650000,4.650000,1224500
2023-04-24,5.270000,5.400000,4.300000,4.620000,4.620000,858500
2023-04-25,4.130000,4.460000,4.000000,4.110000,4.110000,222500
2023-04-26,3.930000,4.190000,3.870000,3.950000,3.950000,155000
2023-04-27,3.900000,4.080000,3.650000,3.700000,3.700000,138600
2023-04-28,3.710000,4.350000,3.710000,4.100000,4.100000,179400
2023-05-01,4.040000,4.130000,3.750000,3.900000,3.900000,90800
2023-05-02,3.910000,4.290000,3.320000,4.150000,4.150000,312200
2023-05-03,4.070000,4.103000,3.700000,3.980000,3.980000,90600
2023-05-04,3.810000,4.000000,3.800000,3.910000,3.910000,30500
2023-05-05,3.830000,4.040000,3.800000,3.870000,3.870000,46100
2023-05-08,4.080000,4.100000,3.900000,4.081000,4.081000,51700
2023-05-09,4.090000,4.240000,3.950000,4.000000,4.000000,57300
2023-05-10,4.110000,4.900000,4.100000,4.390000,4.390000,196700
2023-05-11,4.770000,5.190000,4.110000,4.270000,4.270000,598400
2023-05-12,4.230000,4.260000,3.850000,3.940000,3.940000,213800
2023-05-15,4.060000,4.140000,3.860000,4.040000,4.040000,81100
2023-05-16,4.100000,4.200000,4.049000,4.200000,4.200000,89200
2023-05-17,4.430000,4.512000,4.120000,4.210000,4.210000,22100
2023-05-18,4.140000,4.390000,4.137000,4.150000,4.150000,67100
2023-05-19,4.070000,4.200000,4.050000,4.050000,4.050000,20700
2023-05-22,4.250000,4.320000,3.810000,4.100000,4.100000,148500
2023-05-23,4.250000,4.324000,3.920000,4.000000,4.000000,18300
2023-05-24,4.160000,4.167000,3.800000,3.800000,3.800000,42500
2023-05-25,3.830000,4.020000,3.800000,3.820000,3.820000,27900
2023-05-26,4.020000,4.020000,3.500000,3.570000,3.570000,87200
2023-05-30,3.580000,3.630000,3.330000,3.480000,3.480000,37200
2023-05-31,3.410000,3.525000,3.070000,3.220000,3.220000,62500
2023-06-01,3.220000,3.295000,3.030000,3.110000,3.110000,39000
2023-06-02,3.160000,3.490000,3.110000,3.380000,3.380000,50300
2023-06-05,3.370000,3.850000,3.260000,3.660000,3.660000,45900
2023-06-06,3.610000,3.730000,3.500000,3.540000,3.540000,92600
2023-06-07,3.600000,3.650000,3.050000,3.080000,3.080000,72000
2023-06-08,3.170000,3.380000,3.150000,3.260000,3.260000,18800
2023-06-09,3.190000,3.360000,3.130000,3.220000,3.220000,43500
2023-06-12,3.077000,3.390000,3.050000,3.380000,3.380000,42800
2023-06-13,3.400000,3.680000,3.350000,3.540000,3.540000,45700
2023-06-14,3.550000,3.600000,3.362000,3.370000,3.370000,26100
2023-06-15,3.370000,3.560000,3.370000,3.470000,3.470000,19600
2023-06-16,3.450000,3.580000,3.222000,3.390000,3.390000,13800
2023-06-20,3.480000,3.550000,3.280000,3.280000,3.280000,14700
2023-06-21,3.390000,3.390000,3.200000,3.332000,3.332000,6200
2023-06-22,3.240000,3.400000,3.133000,3.250000,3.250000,15500
2023-06-23,3.210000,3.370000,2.900000,3.050000,3.050000,23900
2023-06-26,3.230000,3.290000,3.140000,3.180000,3.180000,12400
2023-06-27,3.260000,3.290000,3.100000,3.115000,3.115000,14100
2023-06-28,3.130000,3.370000,2.900000,2.960000,2.960000,31700
2023-06-29,2.985000,3.030000,2.750000,2.850000,2.850000,18400
2023-06-30,2.850000,3.050000,2.370000,2.710000,2.710000,56300
2023-07-03,3.100000,3.100000,2.650000,2.750000,2.750000,7400
2023-07-05,2.700000,2.850000,2.630000,2.670000,2.670000,31400
2023-07-06,2.720000,2.741000,2.500000,2.655000,2.655000,14200
2023-07-07,2.660000,2.760000,2.630000,2.680000,2.680000,18300
2023-07-10,2.610000,2.754000,2.440000,2.670000,2.670000,31100
