Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,4.210000,4.240000,3.950000,3.970000,3.970000,2393700
2022-07-12,3.970000,4.059000,3.930000,3.990000,3.990000,1951700
2022-07-13,3.930000,4.069000,3.850000,4.010000,4.010000,1865900
2022-07-14,3.990000,4.050000,3.860000,3.910000,3.910000,2107100
2022-07-15,4.000000,4.000000,3.760000,3.950000,3.950000,2176300
2022-07-18,4.010000,4.205000,3.960000,4.060000,4.060000,2276000
2022-07-19,4.110000,4.170000,4.010000,4.090000,4.090000,2893400
2022-07-20,4.100000,4.420000,4.095000,4.370000,4.370000,3165100
2022-07-21,4.370000,4.510000,4.210000,4.360000,4.360000,1937000
2022-07-22,4.400000,4.431000,4.030000,4.050000,4.050000,1859100
2022-07-25,4.070000,4.140000,3.970000,4.130000,4.130000,1729800
2022-07-26,4.090000,4.130000,4.000000,4.100000,4.100000,2315800
2022-07-27,4.170000,4.290000,4.110000,4.280000,4.280000,2062000
2022-07-28,4.400000,4.550000,4.210000,4.550000,4.550000,2935600
2022-07-29,4.560000,4.680000,4.400000,4.670000,4.670000,2742300
2022-08-01,4.660000,4.780000,4.490000,4.730000,4.730000,2751900
2022-08-02,4.690000,4.850000,4.670000,4.720000,4.720000,2414900
2022-08-03,4.840000,5.170000,4.740000,5.150000,5.150000,3714900
2022-08-04,5.230000,5.595000,5.085000,5.450000,5.450000,5339900
2022-08-05,5.320000,5.430000,5.145000,5.340000,5.340000,2925600
2022-08-08,5.500000,5.750000,5.381000,5.450000,5.450000,3594300
2022-08-09,5.430000,5.535000,5.220000,5.440000,5.440000,3608900
2022-08-10,5.760000,5.925000,5.600000,5.790000,5.790000,5215400
2022-08-11,6.180000,6.230000,5.840000,5.860000,5.860000,5927800
2022-08-12,6.000000,7.150000,5.610000,7.100000,7.100000,8655900
2022-08-15,7.180000,7.290000,6.580000,6.610000,6.610000,7152000
2022-08-16,6.580000,6.755000,6.290000,6.610000,6.610000,5618100
2022-08-17,6.470000,6.470000,5.940000,6.020000,6.020000,5060100
2022-08-18,6.110000,6.115000,5.710000,6.000000,6.000000,5040300
2022-08-19,5.750000,5.810000,5.580000,5.740000,5.740000,3295700
2022-08-22,5.500000,5.690000,5.390000,5.490000,5.490000,4783400
2022-08-23,5.510000,5.535000,5.310000,5.350000,5.350000,4953100
2022-08-24,5.250000,5.370000,5.140000,5.350000,5.350000,5845900
2022-08-25,5.360000,5.565000,5.320000,5.510000,5.510000,3638400
2022-08-26,5.530000,5.540000,5.200000,5.300000,5.300000,2691300
2022-08-29,5.180000,5.230000,5.040000,5.130000,5.130000,2977500
2022-08-30,5.210000,5.210000,4.950000,5.130000,5.130000,3414300
2022-08-31,5.430000,5.910000,5.380000,5.500000,5.500000,6814100
2022-09-01,5.500000,5.580000,5.120000,5.270000,5.270000,4504700
2022-09-02,5.400000,5.460000,5.160000,5.320000,5.320000,4269900
2022-09-06,5.390000,5.400000,5.230000,5.260000,5.260000,2864500
2022-09-07,5.260000,5.680000,5.224000,5.590000,5.590000,4454300
2022-09-08,5.490000,5.580000,5.340000,5.560000,5.560000,2956400
2022-09-09,5.610000,5.785000,5.560000,5.590000,5.590000,3563700
2022-09-12,5.650000,5.720000,5.570000,5.720000,5.720000,2998400
2022-09-13,5.480000,5.690000,5.380000,5.640000,5.640000,3928900
2022-09-14,5.680000,5.710000,5.380000,5.710000,5.710000,2784300
2022-09-15,5.650000,5.930000,5.040000,5.100000,5.100000,11927900
2022-09-16,5.000000,5.120000,4.901000,5.050000,5.050000,8818900
2022-09-19,4.970000,5.125000,4.908000,5.080000,5.080000,3573700
2022-09-20,5.080000,5.127000,4.990000,5.050000,5.050000,2816300
2022-09-21,5.130000,5.180000,4.900000,4.920000,4.920000,4143400
2022-09-22,4.920000,4.950000,4.300000,4.310000,4.310000,10496500
2022-09-23,4.200000,4.210000,3.970000,4.120000,4.120000,6160900
2022-09-26,4.100000,4.330000,4.080000,4.230000,4.230000,4953300
2022-09-27,4.390000,4.400000,4.160000,4.190000,4.190000,4715700
2022-09-28,4.230000,4.430000,4.150000,4.380000,4.380000,3364900
2022-09-29,4.290000,4.320000,4.090000,4.160000,4.160000,3735600
2022-09-30,4.160000,4.267000,4.070000,4.070000,4.070000,2975300
2022-10-03,4.140000,4.370000,4.010000,4.310000,4.310000,4025200
2022-10-04,4.440000,4.630000,4.440000,4.620000,4.620000,3203900
2022-10-05,4.530000,4.660000,4.490000,4.610000,4.610000,2709900
2022-10-06,4.570000,4.780000,4.570000,4.620000,4.620000,2182000
2022-10-07,4.510000,4.560000,4.330000,4.360000,4.360000,2434300
2022-10-10,4.360000,4.400000,4.170000,4.300000,4.300000,2136500
2022-10-11,4.280000,4.330000,4.160000,4.190000,4.190000,3005300
2022-10-12,4.140000,4.150000,3.770000,4.000000,4.000000,5588000
2022-10-13,3.850000,4.175000,3.810000,4.110000,4.110000,2763600
2022-10-14,4.200000,4.230000,3.920000,3.950000,3.950000,2685100
2022-10-17,4.010000,4.290000,4.010000,4.220000,4.220000,2297600
2022-10-18,4.430000,4.490000,4.250000,4.350000,4.350000,3412000
2022-10-19,4.260000,4.360000,4.160000,4.190000,4.190000,2119000
2022-10-20,4.190000,4.380000,4.180000,4.210000,4.210000,2141800
2022-10-21,4.210000,4.265000,4.065000,4.240000,4.240000,1743900
2022-10-24,4.300000,4.300000,4.080000,4.250000,4.250000,1892200
2022-10-25,4.280000,4.738000,4.250000,4.630000,4.630000,3068200
2022-10-26,4.580000,4.970000,4.520000,4.690000,4.690000,3027400
2022-10-27,4.720000,4.860000,4.720000,4.790000,4.790000,2304500
2022-10-28,4.790000,5.230000,4.745000,5.130000,5.130000,3057300
2022-10-31,5.120000,5.175000,4.840000,5.090000,5.090000,2280200
2022-11-01,5.250000,5.365000,5.130000,5.200000,5.200000,2114600
2022-11-02,5.290000,5.290000,4.882000,4.890000,4.890000,2681000
2022-11-03,4.830000,5.275000,4.810000,4.940000,4.940000,3168200
2022-11-04,5.160000,5.209000,4.950000,5.180000,5.180000,2586000
2022-11-07,5.250000,5.260000,4.982000,5.090000,5.090000,2485200
2022-11-08,5.130000,5.220000,4.990000,5.110000,5.110000,2019000
2022-11-09,5.070000,5.080000,4.730000,4.740000,4.740000,4027200
2022-11-10,5.160000,5.710000,5.160000,5.310000,5.310000,5296600
2022-11-11,5.310000,5.760000,5.220000,5.630000,5.630000,4028300
2022-11-14,5.560000,5.580000,5.150000,5.160000,5.160000,3349000
2022-11-15,5.360000,5.430000,5.115000,5.220000,5.220000,4809200
2022-11-16,5.050000,5.080000,4.650000,4.685000,4.685000,5544000
2022-11-17,4.650000,4.660000,4.358000,4.520000,4.520000,3553400
2022-11-18,4.700000,4.710000,4.425000,4.600000,4.600000,2205700
2022-11-21,4.610000,4.650000,4.290000,4.320000,4.320000,3720000
2022-11-22,4.320000,4.410000,4.200000,4.360000,4.360000,2867500
2022-11-23,4.360000,4.445000,4.320000,4.400000,4.400000,3245800
2022-11-25,4.500000,4.553000,4.140000,4.180000,4.180000,3209900
2022-11-28,4.170000,4.289000,4.000000,4.010000,4.010000,3842500
2022-11-29,4.040000,4.110000,3.940000,3.960000,3.960000,4053900
2022-11-30,3.990000,4.200000,3.880000,4.190000,4.190000,4943700
2022-12-01,4.280000,4.280000,4.070000,4.220000,4.220000,3203500
2022-12-02,4.160000,4.290000,4.070000,4.250000,4.250000,2498700
2022-12-05,4.260000,4.340000,4.100000,4.150000,4.150000,3028700
2022-12-06,4.170000,4.188000,3.930000,4.000000,4.000000,3437500
2022-12-07,4.005000,4.040000,3.870000,3.940000,3.940000,3145300
2022-12-08,3.950000,4.220000,3.920000,3.980000,3.980000,2720700
2022-12-09,3.990000,4.140000,3.940000,4.000000,4.000000,1816200
2022-12-12,4.030000,4.210000,4.005000,4.150000,4.150000,2277800
2022-12-13,4.350000,4.500000,4.071000,4.170000,4.170000,3899500
2022-12-14,4.150000,4.230000,4.060000,4.120000,4.120000,3473500
2022-12-15,4.050000,4.120000,4.000000,4.030000,4.030000,2852100
2022-12-16,4.045000,4.130000,3.950000,4.070000,4.070000,6088700
2022-12-19,4.080000,4.080000,3.790000,3.900000,3.900000,4313500
2022-12-20,3.850000,3.965000,3.670000,3.720000,3.720000,5952600
2022-12-21,3.775000,3.890000,3.660000,3.740000,3.740000,3780600
2022-12-22,3.720000,3.740000,3.610000,3.730000,3.730000,2610100
2022-12-23,3.740000,3.780000,3.640000,3.770000,3.770000,1903800
2022-12-27,3.760000,3.770000,3.555000,3.560000,3.560000,3028100
2022-12-28,3.550000,3.690000,3.480000,3.580000,3.580000,3218100
2022-12-29,3.610000,3.800000,3.535000,3.690000,3.690000,3993100
2022-12-30,3.620000,3.805000,3.590000,3.770000,3.770000,2692100
2023-01-03,3.850000,4.050000,3.775000,3.870000,3.870000,3877200
2023-01-04,3.900000,4.050000,3.865000,4.040000,4.040000,2126800
2023-01-05,3.970000,4.260000,3.905000,4.170000,4.170000,2669900
2023-01-06,4.200000,4.250000,4.050000,4.230000,4.230000,3133200
2023-01-09,4.250000,4.360000,4.205000,4.220000,4.220000,2333300
2023-01-10,4.190000,4.380000,4.090000,4.380000,4.380000,1998700
2023-01-11,4.400000,4.525000,4.335000,4.510000,4.510000,2464100
2023-01-12,4.520000,4.830000,4.480000,4.830000,4.830000,3219000
2023-01-13,4.730000,5.110000,4.720000,4.970000,4.970000,6578400
2023-01-17,5.050000,5.520000,4.980000,5.480000,5.480000,5194000
2023-01-18,5.545000,5.680000,5.085000,5.170000,5.170000,6095100
2023-01-19,5.040000,5.120000,4.690000,4.790000,4.790000,4902600
2023-01-20,4.920000,4.950000,4.680000,4.780000,4.780000,4876300
2023-01-23,4.820000,4.840000,4.610000,4.820000,4.820000,4296100
2023-01-24,4.810000,5.021000,4.730000,4.970000,4.970000,3699900
2023-01-25,4.970000,5.000000,4.720000,4.910000,4.910000,4641900
2023-01-26,5.000000,5.045000,4.789000,4.880000,4.880000,3034500
2023-01-27,4.860000,5.040000,4.810000,4.940000,4.940000,3663700
2023-01-30,4.870000,4.965000,4.780000,4.880000,4.880000,2232400
2023-01-31,4.890000,4.985000,4.830000,4.970000,4.970000,2053900
2023-02-01,4.900000,5.170000,4.890000,4.980000,4.980000,6022400
2023-02-02,5.080000,5.295000,5.010000,5.240000,5.240000,7139900
2023-02-03,5.120000,5.470000,5.060000,5.310000,5.310000,6147300
2023-02-06,5.220000,5.280000,4.900000,4.920000,4.920000,4660200
2023-02-07,4.920000,4.950000,4.703000,4.900000,4.900000,4685400
2023-02-08,4.850000,4.920000,4.750000,4.790000,4.790000,2148000
2023-02-09,4.850000,4.980000,4.530000,4.550000,4.550000,3479800
2023-02-10,4.530000,4.790000,4.485000,4.770000,4.770000,4209200
2023-02-13,4.840000,4.840000,4.635000,4.710000,4.710000,2050200
2023-02-14,4.700000,4.990000,4.600000,4.960000,4.960000,3523500
2023-02-15,4.920000,5.230000,4.900000,5.160000,5.160000,4612900
2023-02-16,5.020000,5.160000,4.960000,4.970000,4.970000,2740500
2023-02-17,4.940000,4.950000,4.740000,4.910000,4.910000,3420400
2023-02-21,4.820000,4.890000,4.532000,4.580000,4.580000,3117400
2023-02-22,4.600000,4.730000,4.540000,4.620000,4.620000,4199500
2023-02-23,4.690000,4.770000,4.520000,4.550000,4.550000,3013500
2023-02-24,4.500000,4.500000,4.380000,4.450000,4.450000,2598500
2023-02-27,4.525000,4.670000,4.470000,4.590000,4.590000,3518800
2023-02-28,4.550000,4.640000,4.480000,4.500000,4.500000,4606100
2023-03-01,4.450000,4.515000,4.172000,4.400000,4.400000,6103300
2023-03-02,4.350000,4.355000,4.180000,4.240000,4.240000,4333900
2023-03-03,4.240000,4.580000,4.220000,4.570000,4.570000,4576200
2023-03-06,4.580000,4.600000,4.390000,4.430000,4.430000,3422300
2023-03-07,4.430000,4.490000,4.340000,4.400000,4.400000,2061900
2023-03-08,4.390000,4.395000,4.260000,4.290000,4.290000,2063200
2023-03-09,4.260000,4.350000,4.070000,4.080000,4.080000,2924100
2023-03-10,4.050000,4.070000,3.780000,3.910000,3.910000,6357600
2023-03-13,3.790000,4.005000,3.700000,3.940000,3.940000,4392800
2023-03-14,4.055000,4.062000,3.840000,3.890000,3.890000,3162800
2023-03-15,3.835000,3.940000,3.770000,3.920000,3.920000,3826900
2023-03-16,3.860000,4.000000,3.770000,3.960000,3.960000,2383800
2023-03-17,3.970000,4.020000,3.840000,3.880000,3.880000,3314300
2023-03-20,3.900000,3.950000,3.800000,3.850000,3.850000,3171500
