Date,Open,High,Low,Close,Adj Close,Volume
2022-04-28,3.990000,4.050000,3.800000,3.980000,3.980000,21500
2022-04-29,3.900000,3.970000,3.850000,3.930000,3.930000,18000
2022-05-02,3.890000,3.890000,3.750000,3.780000,3.780000,36300
2022-05-03,3.760000,3.800000,3.760000,3.780000,3.780000,22500
2022-05-04,3.780000,3.800000,3.750000,3.780000,3.780000,36700
2022-05-05,3.800000,3.800000,3.700000,3.780000,3.780000,11200
2022-05-06,3.710000,3.710000,3.500000,3.570000,3.570000,36600
2022-05-09,3.500000,3.540000,3.170000,3.290000,3.290000,56400
2022-05-10,3.300000,3.300000,3.000000,3.010000,3.010000,54800
2022-05-11,3.040000,3.090000,2.760000,2.790000,2.790000,46200
2022-05-12,2.810000,2.870000,2.650000,2.700000,2.700000,55300
2022-05-13,2.690000,3.050000,2.670000,3.010000,3.010000,46800
2022-05-16,3.110000,3.120000,2.770000,2.820000,2.820000,52700
2022-05-17,2.930000,3.080000,2.930000,3.060000,3.060000,22300
2022-05-18,3.140000,3.210000,2.980000,3.150000,3.150000,36900
2022-05-19,2.970000,3.120000,2.960000,3.100000,3.100000,13000
2022-05-20,3.100000,3.210000,2.900000,2.920000,2.920000,16800
2022-05-23,3.000000,3.000000,2.890000,3.000000,3.000000,8900
2022-05-24,2.940000,3.000000,2.880000,2.970000,2.970000,5400
2022-05-25,2.910000,2.980000,2.910000,2.910000,2.910000,1200
2022-05-26,2.870000,2.990000,2.870000,2.970000,2.970000,12500
2022-05-27,2.980000,3.340000,2.980000,3.340000,3.340000,44500
2022-05-31,3.300000,3.500000,3.290000,3.500000,3.500000,5300
2022-06-01,3.470000,3.700000,3.440000,3.580000,3.580000,38700
2022-06-02,3.700000,3.740000,3.540000,3.730000,3.730000,9700
2022-06-03,3.730000,3.800000,3.600000,3.720000,3.720000,22100
2022-06-06,3.680000,3.800000,3.580000,3.800000,3.800000,19900
2022-06-07,3.700000,3.790000,3.640000,3.680000,3.680000,14500
2022-06-08,3.620000,3.800000,3.620000,3.700000,3.700000,8900
2022-06-09,3.660000,3.800000,3.660000,3.750000,3.750000,12000
2022-06-10,3.740000,3.800000,3.510000,3.800000,3.800000,7700
2022-06-13,3.600000,3.640000,3.400000,3.400000,3.400000,27100
2022-06-14,3.390000,3.520000,3.080000,3.080000,3.080000,69100
2022-06-15,3.070000,3.300000,3.000000,3.000000,3.000000,13300
2022-06-16,3.000000,3.190000,2.920000,2.950000,2.950000,27100
2022-06-17,2.930000,3.330000,2.860000,2.940000,2.940000,37300
2022-06-21,2.960000,3.140000,2.880000,3.110000,3.110000,11700
2022-06-22,3.090000,3.140000,3.010000,3.040000,3.040000,13100
2022-06-23,2.980000,3.130000,2.980000,3.050000,3.050000,16400
2022-06-24,3.070000,3.110000,3.000000,3.080000,3.080000,5800
2022-06-27,3.040000,3.090000,2.990000,3.000000,3.000000,27300
2022-06-28,2.960000,3.000000,2.950000,2.990000,2.990000,4800
2022-06-29,2.980000,2.990000,2.900000,2.940000,2.940000,20000
2022-06-30,3.000000,3.000000,2.770000,2.890000,2.890000,40100
2022-07-01,2.900000,3.000000,2.810000,2.910000,2.910000,39900
2022-07-05,2.910000,2.980000,2.880000,2.900000,2.900000,10100
2022-07-06,2.940000,3.000000,2.890000,2.890000,2.890000,4400
2022-07-07,2.940000,2.990000,2.910000,2.910000,2.910000,3400
2022-07-08,2.890000,3.000000,2.800000,2.930000,2.930000,83800
2022-07-11,2.840000,3.020000,2.640000,2.970000,2.970000,59100
2022-07-12,2.980000,3.000000,2.970000,3.000000,3.000000,15400
2022-07-13,3.000000,3.000000,2.940000,3.000000,3.000000,6200
2022-07-14,3.740000,3.920000,3.220000,3.240000,3.240000,15265600
2022-07-15,3.090000,3.300000,2.810000,2.910000,2.910000,737000
2022-07-18,2.920000,2.920000,2.700000,2.710000,2.710000,268300
2022-07-19,2.720000,2.730000,2.610000,2.610000,2.610000,195400
2022-07-20,2.580000,2.810000,2.560000,2.780000,2.780000,172000
2022-07-21,2.840000,2.860000,2.710000,2.830000,2.830000,116800
2022-07-22,2.760000,2.820000,2.720000,2.750000,2.750000,35700
2022-07-25,2.790000,2.790000,2.620000,2.690000,2.690000,52200
2022-07-26,2.660000,2.780000,2.660000,2.690000,2.690000,39100
2022-07-27,2.770000,2.770000,2.580000,2.640000,2.640000,41600
2022-07-28,2.610000,2.700000,2.580000,2.640000,2.640000,44100
2022-07-29,2.660000,2.790000,2.580000,2.770000,2.770000,102900
