Date,Open,High,Low,Close,Adj Close,Volume
2022-07-10,127.191696,129.157379,120.876244,129.157379,129.157379,98369503
2022-07-11,129.129349,132.657150,125.744003,127.019791,127.019791,163613480
2022-07-12,127.022034,129.183105,123.136009,123.185577,123.185577,106710927
2022-07-13,123.184540,125.542091,117.834457,124.019043,124.019043,91311918
2022-07-14,124.064301,134.784012,123.409882,133.764832,133.764832,101671233
2022-07-15,133.800522,141.171646,132.665421,138.906723,138.906723,113264774
2022-07-16,138.867920,143.765137,135.705093,139.035995,139.035995,115613262
2022-07-17,139.070892,141.920563,134.925705,135.953568,135.953568,75311845
2022-07-18,135.960709,148.484573,135.960709,147.483994,147.483994,107876099
2022-07-19,147.356552,148.831940,140.212372,146.978378,146.978378,155497350
2022-07-20,146.858398,153.090698,143.389572,151.671158,151.671158,182883969
2022-07-21,151.728256,152.590073,146.708893,151.005661,151.005661,172584700
2022-07-22,151.007065,153.259125,148.468964,149.294678,149.294678,139084671
2022-07-23,149.228607,151.203674,142.670227,146.423859,146.423859,100903721
2022-07-24,146.427032,153.768234,146.392273,151.459732,151.459732,101611497
2022-07-25,151.463928,152.044388,143.576721,143.955902,143.955902,109517730
2022-07-26,143.926407,151.020493,138.239182,151.020493,151.020493,156063144
2022-07-27,150.988525,162.774719,150.383286,161.605179,161.605179,182674278
2022-07-28,161.602890,165.988022,157.090363,162.390472,162.390472,224914350
2022-07-29,162.382202,165.972824,159.115021,160.120468,160.120468,202604097
2022-07-30,160.088852,163.366714,154.840256,155.708832,155.708832,158352419
2022-07-31,155.721924,159.632599,153.911240,154.845581,154.845581,131377522
2022-08-01,154.827988,161.376648,152.415466,160.910126,160.910126,105374252
2022-08-02,160.868637,161.604248,154.173904,156.717270,156.717270,120000815
2022-08-03,156.732437,163.797897,155.176514,156.669693,156.669693,110358575
2022-08-04,156.678818,162.766830,156.370255,159.335571,159.335571,105835155
2022-08-05,159.320786,162.173553,156.934479,161.642426,161.642426,91510566
2022-08-06,161.637054,164.948090,160.334793,160.662857,160.662857,85517741
2022-08-07,160.722305,170.978149,158.644333,164.789429,164.789429,149742599
2022-08-08,164.844345,169.372726,162.665512,167.201324,167.201324,132055216
2022-08-09,167.170792,171.438232,155.985947,158.055740,158.055740,127854381
2022-08-10,158.063034,169.574341,155.814774,167.745575,167.745575,154479021
2022-08-11,167.750549,169.071472,157.116379,160.070877,160.070877,153613368
2022-08-12,159.876450,166.564056,157.531265,166.262054,166.262054,119496709
2022-08-13,166.218430,168.237411,165.093185,166.478195,166.478195,89014942
2022-08-14,166.492020,169.336029,164.102295,165.520172,165.520172,73938483
2022-08-15,165.519180,169.168747,161.878693,163.680222,163.680222,97995109
2022-08-16,163.633789,174.110947,162.269028,169.876190,169.876190,132922171
2022-08-17,169.879929,170.495987,159.186249,168.487137,168.487137,181835113
2022-08-18,168.551239,170.644165,159.238205,159.691208,159.691208,143325904
2022-08-19,159.995468,161.107605,142.058456,142.572876,142.572876,172998597
2022-08-20,142.536346,149.695435,142.359802,149.012604,149.012604,96670694
2022-08-21,148.976715,157.233856,148.883209,154.509308,154.509308,102188382
2022-08-22,154.484146,154.667297,150.612488,153.890381,153.890381,100084496
2022-08-23,153.909683,155.780457,150.315674,154.617188,154.617188,104083826
2022-08-24,154.562134,154.787018,150.459549,150.973206,150.973206,103296087
2022-08-25,150.955780,155.326767,150.510986,154.217285,154.217285,81474548
2022-08-26,154.185699,155.244400,141.635635,142.710815,142.710815,114446697
2022-08-27,142.710358,145.717621,141.928131,145.055435,145.055435,87999222
2022-08-28,145.043839,149.243423,144.205200,146.422821,146.422821,84867316
2022-08-29,146.436279,152.955841,144.867508,152.634659,152.634659,99602495
2022-08-30,152.629562,152.824585,147.312744,148.695724,148.695724,97795973
2022-08-31,148.721466,152.444489,148.480423,149.027832,149.027832,83549697
2022-09-01,149.044891,154.638443,148.491226,153.876877,153.876877,107601509
2022-09-02,154.081177,154.626587,150.358444,153.444534,153.444534,106638604
2022-09-03,153.471130,154.712051,151.688507,154.350357,154.350357,67389715
2022-09-04,154.356049,156.220016,153.647430,155.631134,155.631134,64303551
2022-09-05,155.622665,157.870453,154.814438,157.505341,157.505341,82447046
2022-09-06,157.522781,159.743347,144.833969,145.026138,145.026138,105691301
2022-09-07,144.950851,152.059586,141.929382,149.232574,149.232574,98033777
2022-09-08,149.233353,152.426529,147.767471,152.175339,152.175339,82798120
2022-09-09,152.175949,159.720169,151.765671,159.720169,159.720169,103665193
2022-09-10,160.002502,161.677124,157.358948,157.581055,157.581055,76903926
2022-09-11,157.612946,159.213715,154.800797,158.860352,158.860352,70199114
2022-09-12,158.856659,164.834427,158.242157,163.911850,163.911850,124676542
2022-09-13,163.953552,165.239487,145.333664,145.669540,145.669540,129962276
2022-09-14,146.436462,151.714981,145.333664,149.802734,149.802734,104499348
2022-09-15,149.814651,151.672852,144.001022,145.810165,145.810165,102172491
2022-09-16,145.788589,149.417267,144.180176,149.408981,149.408981,82198522
2022-09-17,149.333267,151.888672,147.563004,147.779617,147.779617,74830196
2022-09-18,147.768005,148.976532,138.249405,140.529114,140.529114,92480384
2022-09-19,140.495636,141.741562,135.561295,140.486542,140.486542,92512029
2022-09-20,140.516327,143.226807,139.661530,142.354172,142.354172,84427432
2022-09-21,142.355698,144.876190,134.803894,135.606674,135.606674,89281823
2022-09-22,135.534836,144.168518,134.120392,144.168518,144.168518,84813632
2022-09-23,144.150345,146.137161,137.881210,141.406143,141.406143,78466488
2022-09-24,141.409302,143.908478,140.730408,141.765076,141.765076,60288628
2022-09-25,141.757828,144.527573,140.147202,141.104095,141.104095,49824840
2022-09-26,141.103485,146.105759,139.975784,145.709396,145.709396,65981124
2022-09-27,145.716492,152.892029,143.181198,144.613052,144.613052,96826191
2022-09-28,144.555725,147.941879,140.303192,147.296051,147.296051,83476179
2022-09-29,147.306503,149.147339,146.335541,148.346817,148.346817,82200005
2022-09-30,148.347900,150.637863,146.321320,147.307281,147.307281,67515235
2022-10-01,147.316650,150.234344,140.780411,140.872849,140.872849,60837078
2022-10-02,140.883377,141.817627,136.602676,136.917343,136.917343,74110632
2022-10-03,136.915558,141.722366,136.715027,141.722366,141.722366,80885366
2022-10-04,141.704361,147.529709,141.704361,146.867355,146.867355,79137645
2022-10-05,146.823685,148.069290,143.837158,146.253876,146.253876,71303418
2022-10-06,146.263245,152.514771,143.528214,149.132080,149.132080,120777904
2022-10-07,149.147568,149.338943,143.983185,146.479355,146.479355,81911826
2022-10-08,146.480621,148.254929,145.205444,147.314453,147.314453,50390631
2022-10-09,147.296692,148.957336,145.286209,145.686264,145.686264,52054450
2022-10-10,145.686142,147.707870,142.328583,142.330322,142.330322,69531927
2022-10-11,142.305588,145.111130,140.399384,144.710953,144.710953,69098909
2022-10-12,144.704987,146.716705,142.835922,144.882309,144.882309,66358492
2022-10-13,144.881073,145.240219,135.281693,142.840515,142.840515,105016337
2022-10-14,142.843460,145.938705,139.913559,140.508179,140.508179,64896650
2022-10-15,140.505737,141.760468,139.243546,139.520721,139.520721,55760656
2022-10-16,139.549576,143.480789,139.549576,143.164383,143.164383,50093538
2022-10-17,143.158417,145.026733,142.597900,143.612000,143.612000,75011148
2022-10-18,143.624588,148.039398,142.697784,146.093826,146.093826,118028731
2022-10-19,146.099319,148.462082,144.796875,145.044846,145.044846,81641779
2022-10-20,145.041626,148.424316,140.163910,141.207642,141.207642,86726962
2022-10-21,141.195435,143.249649,137.309967,140.729477,140.729477,80536580
2022-10-22,140.724609,142.956726,139.785629,142.801865,142.801865,52005951
2022-10-23,142.805847,144.903381,142.196381,144.488083,144.488083,59010194
2022-10-24,144.501663,144.744339,141.601822,143.225418,143.225418,64894664
2022-10-25,143.212753,146.437180,142.943665,144.185669,144.185669,72524752
2022-10-26,144.103073,147.977676,143.989792,146.840759,146.840759,547034411
2022-10-27,146.847336,149.844315,145.096741,145.764969,145.764969,88909512
2022-10-28,145.752151,148.189590,144.090363,146.804565,146.804565,78888727
2022-10-29,146.785217,149.328934,145.913147,148.936035,148.936035,68340397
2022-10-30,148.933197,150.294434,146.375259,147.528564,147.528564,62561254
2022-10-31,147.539291,150.670090,146.167877,149.146301,149.146301,88726916
2022-11-01,149.143295,151.028610,148.479172,149.668274,149.668274,80351280
2022-11-02,149.664124,151.222656,145.082825,146.864075,146.864075,91845402
2022-11-03,146.862732,150.277481,146.774612,149.283020,149.283020,67370440
2022-11-04,149.298798,158.320480,149.010590,158.320480,158.320480,81654141
2022-11-05,158.333710,161.862823,156.860382,157.242599,157.242599,92819170
2022-11-06,157.262680,160.394424,154.569061,154.919769,154.919769,72323195
2022-11-07,154.926620,159.318237,153.346497,155.234894,155.234894,86541001
2022-11-08,155.231049,157.053421,131.247467,138.239548,138.239548,151917221
2022-11-09,138.229065,139.689407,116.102791,119.120728,119.120728,135160589
2022-11-10,119.193871,134.505600,118.108780,133.224411,133.224411,206666370
2022-11-11,133.191498,134.326660,123.535545,128.019562,128.019562,127218541
2022-11-12,128.056534,129.596161,125.053421,128.375656,128.375656,58409628
2022-11-13,128.384537,131.008850,126.361382,127.467720,127.467720,72796688
2022-11-14,127.448891,130.439636,122.048065,129.822495,129.822495,92690172
2022-11-15,129.824860,132.508911,127.710739,128.993073,128.993073,65958551
2022-11-16,128.990555,132.602234,127.087418,132.247360,132.247360,71164610
2022-11-17,132.240494,133.096481,130.469589,132.727921,132.727921,70045786
2022-11-18,132.773331,134.438644,131.139954,133.294037,133.294037,61416670
2022-11-19,133.262985,134.514923,132.029999,134.364105,134.364105,49939254
2022-11-20,134.367035,134.367859,129.120285,129.820129,129.820129,56089447
2022-11-21,129.811951,135.093674,126.430283,126.511673,126.511673,121851705
2022-11-22,126.424591,134.081100,125.825996,133.947510,133.947510,92739376
2022-11-23,133.943192,136.853851,133.153778,134.870087,134.870087,115892346
2022-11-24,134.904160,137.258469,133.407562,136.748245,136.748245,78831613
2022-11-25,136.720001,138.096222,133.932236,136.306183,136.306183,73471270
2022-11-26,136.314728,139.221130,135.719238,138.807449,138.807449,74418922
2022-11-27,138.810165,139.577759,136.267136,136.435349,136.435349,67537839
2022-11-28,136.436600,137.051651,132.961151,134.960403,134.960403,59130701
2022-11-29,134.963745,139.635406,134.316010,137.498825,137.498825,77659770
2022-11-30,137.492477,142.382767,137.445404,142.120529,142.120529,73586346
2022-12-01,142.107544,144.748047,141.460083,144.353073,144.353073,88989235
2022-12-02,144.323776,146.370499,143.222702,145.491821,145.491821,65583368
2022-12-03,145.499908,148.187134,143.796066,145.349030,145.349030,76654089
2022-12-04,145.350708,147.359909,142.355164,142.355164,142.355164,73736309
2022-12-05,142.342926,145.779465,141.620453,145.197891,145.197891,80729829
2022-12-06,145.147873,145.941437,142.145004,143.438232,143.438232,68786473
2022-12-07,143.431870,144.181290,141.323288,144.003265,144.003265,61457934
2022-12-08,144.005524,148.396133,143.021454,147.641174,147.641174,76057915
2022-12-09,147.631149,149.222458,146.399033,149.058350,149.058350,69238803
2022-12-10,149.054184,150.708649,148.469650,149.855682,149.855682,50931724
2022-12-11,149.785751,151.912155,149.323151,150.444473,150.444473,61435870
2022-12-12,150.445648,151.941879,148.207504,150.568024,150.568024,108543576
2022-12-13,150.588013,152.787842,148.473328,151.539627,151.539627,85940527
2022-12-14,151.531906,152.341248,146.985565,148.620819,148.620819,98242696
2022-12-15,148.633850,149.720840,146.861099,149.065460,149.065460,73147120
2022-12-16,149.064148,149.337921,140.961197,142.141907,142.141907,69577384
2022-12-17,142.119919,143.937531,138.765778,143.448380,143.448380,55942162
2022-12-18,143.449997,145.965134,142.959229,144.340393,144.340393,56488797
2022-12-19,144.346527,145.667267,143.297623,143.980255,143.980255,50595821
2022-12-20,143.995270,147.543457,143.953384,146.995483,146.995483,63666260
2022-12-21,146.995163,148.778442,146.600433,147.331558,147.331558,57307275
2022-12-22,147.349670,147.862366,143.849335,145.485336,145.485336,63201255
2022-12-23,145.477768,146.648849,140.079758,143.153595,143.153595,73632350
2022-12-24,143.157120,144.074509,141.933502,143.466736,143.466736,44443531
2022-12-25,143.467529,145.483551,143.341660,145.275101,145.275101,49253630
2022-12-26,145.254059,147.219376,144.492432,146.778900,146.778900,58136569
2022-12-27,146.762848,147.218933,144.144928,145.405945,145.405945,66100579
2022-12-28,145.413544,146.831573,143.868942,146.789368,146.789368,61169572
2022-12-29,146.781830,146.876007,145.019806,145.643021,145.643021,60893067
2022-12-30,145.639725,146.430939,144.419006,146.019653,146.019653,66830282
2022-12-31,146.011780,148.408340,145.412140,147.284760,147.284760,44549077
2023-01-01,147.309662,148.931030,146.437485,148.576935,148.576935,36453347
2023-01-02,148.582184,149.623535,147.943558,147.943558,147.943558,47050925
2023-01-03,147.933929,149.027832,147.628860,148.487930,148.487930,48662135
2023-01-04,148.466995,152.488983,148.342621,150.743652,150.743652,83915181
2023-01-05,150.790253,155.921738,150.769043,155.921738,155.921738,78049428
2023-01-06,155.920883,158.111328,152.795334,155.086243,155.086243,79245655
2023-01-07,155.031708,155.862900,153.755020,155.862335,155.862335,53777923
2023-01-08,155.836014,158.639191,154.268158,155.648804,155.648804,84999073
2023-01-09,155.652924,160.459213,155.303513,158.866623,158.866623,103423416
2023-01-10,158.845047,162.768616,157.766830,161.539932,161.539932,99741193
2023-01-11,161.545929,169.517319,160.338531,168.861603,168.861603,106257251
2023-01-12,169.406052,171.173996,164.391785,167.016678,167.016678,131424875
2023-01-13,167.010239,170.610229,164.239334,170.606049,170.606049,87475477
2023-01-14,170.584137,187.206604,170.371201,175.798264,175.798264,165233255
2023-01-15,175.698730,177.152328,171.824005,174.011520,174.011520,105771855
2023-01-16,174.151398,176.803345,166.276108,167.743805,167.743805,94584327
2023-01-17,167.804626,174.622452,165.766724,171.936829,171.936829,85230570
2023-01-18,171.919128,174.846390,161.689072,162.827515,162.827515,93743264
2023-01-19,162.796432,165.827316,156.985214,165.486298,165.486298,114313476
2023-01-20,165.534729,173.504776,165.046799,173.473663,173.473663,87344208
2023-01-21,173.516174,181.888824,171.666626,172.764359,172.764359,121595336
2023-01-22,172.777008,181.036682,172.648285,177.023788,177.023788,68364082
2023-01-23,177.014969,180.122299,175.390533,179.074173,179.074173,79188406
2023-01-24,179.031952,179.982895,168.641769,172.239944,172.239944,89372598
2023-01-25,172.231155,175.827591,166.494553,173.442657,173.442657,78029914
2023-01-26,173.394501,178.127045,171.118271,171.583984,171.583984,88195092
2023-01-27,171.618958,180.374084,167.915253,179.934998,179.934998,113831380
2023-01-28,179.954208,186.151810,178.267426,185.212555,185.212555,108556707
2023-01-29,185.170227,186.721725,182.376175,186.237305,186.237305,72731470
2023-01-30,186.235046,186.734772,174.991928,176.005981,176.005981,83337531
2023-01-31,176.021530,180.139297,171.963989,177.598236,177.598236,89898081
2023-02-01,177.572113,178.318710,172.886200,177.813568,177.813568,73077406
2023-02-02,177.788437,180.662704,172.615692,172.925430,172.925430,86375656
2023-02-03,172.897598,175.347137,170.511932,171.756348,171.756348,83722489
2023-02-04,171.787842,174.874527,170.924698,172.153381,172.153381,48843377
2023-02-05,172.164291,173.556824,165.387299,166.950958,166.950958,77877823
2023-02-06,166.908646,168.391388,163.598953,164.720871,164.720871,67642544
2023-02-07,164.723099,168.206879,163.970291,168.081375,168.081375,81162367
2023-02-08,168.089249,169.035172,163.432648,165.506104,165.506104,90876684
2023-02-09,165.543854,168.090134,150.998291,152.459656,152.459656,109861483
2023-02-10,152.462753,158.471649,151.728424,154.554474,154.554474,99139499
2023-02-11,154.559174,161.592148,153.909592,161.501602,161.501602,89797854
2023-02-12,161.494888,162.972458,158.258987,159.310593,159.310593,76572461
2023-02-13,159.343689,161.861832,153.885513,155.949844,155.949844,106473889
2023-02-14,155.947952,159.111725,154.443634,158.355774,158.355774,105604607
2023-02-15,158.375900,165.598145,156.928436,165.598145,165.598145,95996904
2023-02-16,165.593552,166.837906,155.589783,155.684891,155.684891,97953053
2023-02-17,155.671036,161.979019,155.151978,159.811874,159.811874,90643814
2023-02-18,159.800430,163.675797,158.836121,161.726547,161.726547,64754845
2023-02-19,161.717743,166.235443,159.954651,161.985138,161.985138,84728861
2023-02-20,162.117706,168.870834,160.844650,161.671204,161.671204,113695585
2023-02-21,161.694611,163.195724,157.041809,159.577850,159.577850,86671438
2023-02-22,159.576141,159.813156,155.969788,157.960114,157.960114,69161124
2023-02-23,157.965912,159.539658,150.178360,152.017487,152.017487,82723484
2023-02-24,152.024597,154.476166,149.106827,150.430984,150.430984,62755053
2023-02-25,150.431732,151.478561,145.717270,149.033722,149.033722,62828768
2023-02-26,149.025696,152.169632,148.404770,151.375534,151.375534,59485307
2023-02-27,151.384735,152.220505,146.545212,149.823303,149.823303,61948954
2023-02-28,149.838898,152.313629,149.007507,150.279373,150.279373,71567935
2023-03-01,150.283035,153.597061,150.283035,152.668167,152.668167,81021638
2023-03-02,152.670258,153.149094,148.752655,151.075195,151.075195,76654316
2023-03-03,151.065033,151.249481,141.265961,144.905441,144.905441,70335341
2023-03-04,144.930252,147.737137,144.293015,146.698761,146.698761,53506744
2023-03-05,146.706726,150.071732,146.392593,149.534653,149.534653,52900174
2023-03-06,149.529495,154.032669,148.491180,154.032669,154.032669,80317490
2023-03-07,154.011688,154.820221,148.610275,150.311218,150.311218,78897739
2023-03-08,150.314636,151.395401,143.648636,143.648636,143.648636,77643407
2023-03-09,143.612900,152.287186,140.819794,142.576080,142.576080,87243144
2023-03-10,142.576889,142.576889,132.243912,135.306824,135.306824,88987259
2023-03-11,135.300766,143.336456,133.528107,141.228928,141.228928,97614098
2023-03-12,141.249451,151.127426,140.509567,150.904724,150.904724,95149821
