Date,Open,High,Low,Close,Adj Close,Volume
2022-04-29,530.000000,530.000000,507.250000,509.000000,506.668365,522735
2022-05-02,null,null,null,null,null,null
2022-05-04,498.399994,504.000000,489.299988,491.850006,489.596924,2264525
2022-05-05,501.399994,503.850006,495.799988,501.049988,498.754791,684441
2022-05-06,492.000000,492.000000,481.100006,485.399994,483.176483,534644
2022-05-09,480.500000,489.450012,474.549988,483.500000,481.285156,925066
2022-05-10,482.299988,483.799988,476.549988,477.850006,475.661041,619776
2022-05-11,479.399994,482.100006,462.299988,471.200012,469.041534,1026353
2022-05-12,467.000000,475.750000,462.149994,473.799988,471.629608,251121
2022-05-13,480.600006,480.600006,466.899994,468.549988,466.403656,787738
2022-05-16,475.950012,475.950012,465.000000,468.200012,466.055267,134522
2022-05-17,470.450012,489.000000,468.000000,486.799988,484.570038,524651
2022-05-18,492.600006,495.299988,480.649994,481.250000,479.045471,765735
2022-05-19,465.000000,472.899994,450.100006,451.350006,449.282440,927045
2022-05-20,461.000000,462.149994,455.000000,459.600006,457.494659,774962
2022-05-23,467.200012,467.799988,457.350006,465.700012,463.566742,573740
2022-05-24,469.000000,469.399994,458.149994,460.049988,457.942596,545012
2022-05-25,460.049988,461.100006,443.149994,444.850006,442.812256,832441
2022-05-26,445.100006,454.649994,444.000000,453.450012,451.372833,730903
2022-05-27,459.000000,467.899994,456.350006,466.950012,464.811005,600465
2022-05-30,473.750000,481.350006,473.049988,476.350006,474.167938,561758
2022-05-31,476.500000,480.700012,470.299988,478.250000,476.059235,778523
2022-06-01,478.299988,479.100006,468.450012,470.750000,468.593597,758783
2022-06-02,472.000000,476.399994,468.200012,474.100006,471.928253,1875398
2022-06-03,479.399994,488.000000,474.450012,475.700012,473.520905,593871
2022-06-06,472.500000,475.500000,464.200012,473.250000,471.082123,554140
2022-06-07,470.700012,470.750000,465.200012,467.600006,465.458008,176614
2022-06-08,471.399994,472.149994,464.500000,470.450012,468.294952,280630
2022-06-09,468.500000,476.200012,464.250000,475.100006,472.923645,389517
2022-06-10,468.649994,468.649994,456.399994,460.899994,458.788696,590714
2022-06-13,450.500000,453.149994,445.500000,446.250000,444.205811,363408
2022-06-14,440.799988,453.750000,438.399994,444.950012,442.911804,583685
2022-06-15,449.100006,450.649994,439.250000,440.200012,438.183533,368255
2022-06-16,446.799988,446.799988,420.000000,422.399994,420.465057,625521
2022-06-17,420.000000,420.000000,402.100006,405.200012,403.343872,1508478
2022-06-20,409.600006,417.899994,404.149994,414.500000,412.601257,719080
2022-06-21,420.000000,426.850006,416.649994,425.250000,423.302002,246842
2022-06-22,423.950012,423.950012,410.399994,411.250000,409.366150,482283
2022-06-23,414.350006,421.000000,411.299988,419.350006,417.429047,360747
2022-06-24,421.549988,426.000000,415.799988,418.700012,416.782013,379291
2022-06-27,425.450012,430.750000,424.000000,425.000000,423.053162,376157
2022-06-28,422.000000,428.799988,415.750000,427.000000,425.043976,404252
2022-06-29,421.000000,424.899994,417.399994,420.200012,418.275177,347616
2022-06-30,422.000000,423.149994,415.000000,416.049988,414.144135,569450
2022-07-01,411.500000,423.000000,411.500000,421.799988,419.867798,284952
2022-07-04,422.899994,422.899994,416.100006,420.450012,418.524017,313920
2022-07-05,421.000000,423.250000,413.000000,413.799988,411.904449,512095
2022-07-06,417.000000,418.350006,413.100006,416.100006,414.193939,515183
2022-07-07,419.049988,424.000000,417.299988,420.799988,418.872375,533475
2022-07-08,424.100006,424.399994,416.700012,419.200012,417.279724,643181
2022-07-11,414.350006,415.000000,405.649994,411.200012,409.316376,703940
2022-07-12,409.750000,414.799988,407.850006,409.049988,407.176208,632771
2022-07-13,412.399994,412.399994,405.250000,406.899994,405.036072,282992
2022-07-14,410.850006,410.850006,400.500000,401.600006,399.760376,638017
2022-07-15,401.899994,404.500000,391.000000,393.850006,392.045837,892539
2022-07-18,398.299988,405.500000,396.700012,404.750000,402.895905,2331514
2022-07-19,404.000000,407.899994,401.299988,405.600006,403.742035,219001
2022-07-20,410.000000,417.700012,407.100006,412.200012,410.311798,423918
2022-07-21,405.799988,417.500000,402.399994,414.100006,412.203094,1439574
2022-07-22,416.000000,417.350006,409.049988,410.799988,408.918182,476599
2022-07-25,411.399994,415.500000,408.750000,414.649994,412.750580,186715
2022-07-26,415.000000,415.500000,404.350006,405.200012,403.343872,221335
2022-07-27,405.700012,407.600006,402.250000,406.600006,404.737457,153578
2022-07-28,411.399994,417.000000,410.950012,416.000000,414.094360,276121
2022-07-29,420.000000,424.399994,418.000000,423.700012,421.759125,264022
2022-08-01,427.000000,431.000000,422.850006,429.000000,427.034821,2182118
2022-08-02,429.399994,431.649994,424.700012,429.549988,427.582306,187995
2022-08-03,430.000000,433.200012,427.500000,432.149994,430.170380,181425
2022-08-04,436.299988,440.399994,427.299988,435.450012,433.455292,225267
2022-08-05,436.799988,442.000000,436.200012,439.899994,437.884888,166518
2022-08-08,439.899994,442.350006,435.200012,435.950012,433.953003,163227
2022-08-10,435.950012,435.950012,426.350006,430.100006,428.129791,237871
2022-08-11,437.450012,441.899994,436.500000,438.399994,436.391754,167955
2022-08-12,438.399994,438.500000,435.000000,436.149994,434.152069,104124
2022-08-16,437.799988,439.850006,436.600006,437.100006,435.097717,294518
2022-08-17,437.100006,444.649994,436.549988,443.100006,441.070251,632454
2022-08-18,440.299988,441.000000,434.000000,435.000000,433.007355,534129
2022-08-19,439.899994,442.549988,431.049988,432.799988,430.817413,357347
2022-08-22,430.049988,430.500000,419.100006,420.000000,418.076080,795527
2022-08-23,414.299988,418.200012,410.200012,416.850006,414.940491,319617
2022-08-24,417.200012,419.500000,414.299988,416.200012,414.293488,321655
2022-08-25,418.649994,420.000000,415.000000,415.250000,413.347839,498615
2022-08-26,419.250000,422.649994,416.250000,417.200012,415.288910,395834
2022-08-29,405.000000,406.250000,399.049988,404.450012,402.597321,434842
2022-08-30,407.000000,415.950012,406.500000,413.450012,411.556061,638385
2022-09-01,410.850006,411.750000,404.899994,410.549988,408.669342,326174
2022-09-02,412.250000,412.799988,407.100006,407.799988,405.931915,528458
2022-09-05,407.200012,408.000000,404.000000,405.600006,403.742035,459331
2022-09-06,407.399994,407.649994,401.450012,404.549988,402.696808,847138
2022-09-07,402.500000,408.700012,401.000000,407.350006,405.484009,536530
2022-09-08,410.000000,414.250000,409.500000,412.750000,410.859253,348489
2022-09-09,416.799988,419.350006,411.350006,417.200012,415.288910,244374
2022-09-12,418.500000,424.250000,418.500000,421.950012,420.017151,780470
2022-09-13,425.000000,425.950012,421.600006,422.649994,420.713928,330238
2022-09-14,407.000000,422.549988,407.000000,416.250000,414.343231,838418
2022-09-15,418.799988,420.799988,413.450012,415.100006,413.198517,182003
2022-09-16,411.100006,412.299988,400.149994,401.850006,400.009186,1050308
2022-09-19,404.600006,406.200012,397.100006,401.950012,400.108734,1770024
2022-09-20,405.350006,409.399994,404.500000,404.950012,403.095001,309554
2022-09-21,404.950012,406.000000,399.500000,400.799988,398.963989,802809
2022-09-22,397.549988,400.250000,395.000000,397.950012,396.127075,643124
2022-09-23,398.000000,399.450012,393.600006,394.399994,392.593323,601147
2022-09-26,392.000000,399.149994,384.600006,394.750000,392.941711,1318118
2022-09-27,397.250000,401.350006,392.250000,398.149994,396.326141,229489
2022-09-28,397.450012,400.500000,395.649994,398.000000,396.176849,140516
2022-09-29,400.100006,401.950012,391.700012,393.450012,391.647705,155262
2022-09-30,391.100006,396.649994,387.399994,394.299988,392.493774,440822
2022-10-03,394.000000,398.000000,390.450012,394.500000,392.692871,434723
2022-10-04,398.750000,406.350006,398.750000,405.600006,403.742035,173737
2022-10-06,408.600006,412.950012,407.350006,410.200012,408.320953,541574
2022-10-07,409.799988,411.799988,406.149994,408.100006,406.230560,364721
2022-10-10,399.950012,413.399994,399.649994,411.250000,409.366150,223882
2022-10-11,415.100006,417.899994,402.500000,404.299988,402.447968,2084417
2022-10-12,404.000000,409.500000,401.700012,407.750000,405.882172,282900
2022-10-13,390.000000,392.250000,378.100006,379.100006,377.363434,1824883
2022-10-14,385.299988,387.000000,376.299988,377.299988,375.571655,656828
2022-10-17,377.299988,379.149994,372.399994,375.049988,373.331940,282308
2022-10-18,381.450012,384.399994,378.399994,379.299988,377.562500,335997
2022-10-19,381.799988,381.799988,377.000000,378.000000,376.268433,401520
2022-10-20,376.350006,382.500000,376.000000,381.450012,379.702667,213603
2022-10-21,382.000000,383.799988,379.549988,382.600006,380.847412,227125
2022-10-24,385.000000,386.549988,384.000000,384.750000,382.987549,238840
2022-10-25,386.000000,386.299988,383.700012,384.500000,382.738678,1433343
2022-10-27,385.000000,386.950012,381.149994,382.600006,380.847412,163873
2022-10-28,382.600006,386.000000,382.200012,383.399994,381.643707,105745
2022-10-31,385.600006,388.200012,384.600006,386.399994,384.629974,432689
2022-11-01,388.000000,393.200012,386.649994,392.450012,390.652283,156961
2022-11-02,392.899994,394.850006,390.600006,393.899994,392.095612,365428
2022-11-03,390.500000,393.799988,385.600006,388.649994,386.869659,199219
2022-11-04,386.450012,392.350006,385.700012,390.649994,388.860504,131635
