Date,Open,High,Low,Close,Adj Close,Volume
2023-03-31,4.100000,4.200000,3.330000,4.020000,4.020000,940600
2023-04-03,3.950000,4.200000,3.600000,4.040000,4.040000,1973000
2023-04-04,3.950000,4.150000,3.950000,4.050000,4.050000,641700
2023-04-05,4.020000,4.100000,3.960000,4.010000,4.010000,113100
2023-04-06,3.980000,4.550000,3.950000,3.950000,3.950000,753200
2023-04-10,3.930000,5.970000,3.860000,5.060000,5.060000,1471100
2023-04-11,4.940000,4.950000,4.500000,4.680000,4.680000,375600
2023-04-12,4.550000,4.880000,4.500000,4.610000,4.610000,38400
2023-04-13,4.760000,4.790000,4.300000,4.740000,4.740000,189500
2023-04-14,4.497000,4.760000,4.400000,4.500000,4.500000,39000
2023-04-17,4.350000,4.590000,2.940000,4.170000,4.170000,898700
2023-04-18,3.930000,4.145000,3.930000,4.010000,4.010000,11900
2023-04-19,3.950000,4.110000,3.950000,4.100000,4.100000,48100
2023-04-20,4.040000,4.220000,3.990000,4.150000,4.150000,480600
2023-04-21,4.010000,4.200000,3.970000,4.050000,4.050000,166000
2023-04-24,4.020000,4.110000,3.970000,4.100000,4.100000,21900
2023-04-25,3.990000,4.090000,3.990000,4.070000,4.070000,6700
2023-04-26,4.030000,4.150000,3.990000,4.150000,4.150000,6500
2023-04-27,3.990000,4.110000,3.970000,4.087000,4.087000,46100
2023-04-28,4.180000,4.220000,4.040000,4.110000,4.110000,74400
2023-05-01,4.010000,4.250000,3.960000,4.100000,4.100000,351800
2023-05-02,4.030000,4.150000,3.950000,4.090000,4.090000,110300
2023-05-03,4.050000,4.200000,4.050000,4.150000,4.150000,29500
2023-05-04,4.180000,4.250000,4.000000,4.000000,4.000000,188600
2023-05-05,4.000000,4.160000,4.000000,4.090000,4.090000,206400
2023-05-08,4.180000,4.490000,4.150000,4.360000,4.360000,232600
2023-05-09,4.390000,12.450000,4.355000,8.800000,8.800000,19633100
2023-05-10,6.490000,6.700000,5.530000,5.870000,5.870000,1570200
2023-05-11,5.560000,8.000000,5.410000,6.790000,6.790000,4133800
2023-05-12,7.470000,8.550000,7.100000,7.950000,7.950000,1638600
2023-05-15,8.500000,8.700000,7.800000,8.160000,8.160000,465000
2023-05-16,8.070000,8.400000,7.200000,7.290000,7.290000,238200
2023-05-17,7.160000,7.260000,6.030000,6.660000,6.660000,302700
2023-05-18,6.510000,6.920000,6.500000,6.610000,6.610000,73600
2023-05-19,6.610000,6.900000,5.940000,6.010000,6.010000,204100
2023-05-22,5.500000,6.450000,5.230000,6.160000,6.160000,474500
2023-05-23,6.210000,6.460000,5.810000,6.050000,6.050000,175400
2023-05-24,6.200000,7.670000,6.200000,7.460000,7.460000,422300
2023-05-25,6.850000,7.680000,6.850000,7.260000,7.260000,147700
2023-05-26,7.310000,8.250000,7.160000,7.360000,7.360000,337600
2023-05-30,7.340000,8.880000,7.340000,8.660000,8.660000,192100
2023-05-31,8.660000,10.530000,6.622000,10.010000,10.010000,778800
2023-06-01,9.220000,9.510000,8.680000,8.830000,8.830000,153000
2023-06-02,8.520000,11.000000,8.520000,9.610000,9.610000,321000
2023-06-05,9.420000,9.960000,9.230000,9.890000,9.890000,44500
2023-06-06,9.690000,10.340000,9.290000,10.220000,10.220000,88600
2023-06-07,10.045000,10.390000,9.500000,9.870000,9.870000,56300
2023-06-08,9.990000,10.870000,9.550000,9.710000,9.710000,160300
2023-06-09,9.710000,9.950000,9.200000,9.460000,9.460000,41200
2023-06-12,9.290000,9.690000,8.840000,9.120000,9.120000,118500
2023-06-13,9.010000,9.175000,8.400000,8.480000,8.480000,202100
2023-06-14,8.480000,8.980000,7.405000,7.850000,7.850000,154100
2023-06-15,7.660000,8.250000,7.660000,7.900000,7.900000,196900
2023-06-16,7.900000,7.910000,7.500000,7.670000,7.670000,49800
2023-06-20,7.710000,8.050000,6.970000,7.180000,7.180000,179300
2023-06-21,7.070000,7.860000,7.070000,7.500000,7.500000,48300
2023-06-22,7.310000,7.520000,6.995000,7.330000,7.330000,197200
2023-06-23,6.880000,7.420000,6.880000,7.330000,7.330000,8900
2023-06-26,7.460000,11.800000,7.460000,9.990000,9.990000,2183000
2023-06-27,9.350000,10.300000,9.180000,9.390000,9.390000,134900
2023-06-28,9.140000,10.450000,8.260000,8.400000,8.400000,238100
2023-06-29,8.450000,8.829000,8.400000,8.500000,8.500000,43600
2023-06-30,9.150000,9.675000,8.500000,9.170000,9.170000,93900
2023-07-03,9.570000,9.570000,8.600000,8.860000,8.860000,42100
2023-07-05,8.900000,10.680000,8.800000,9.620000,9.620000,199300
2023-07-06,10.050000,10.050000,9.580000,9.690000,9.690000,35000
2023-07-07,9.670000,10.110000,9.500000,10.110000,10.110000,101900
2023-07-10,10.000000,10.000000,8.500000,9.000000,9.000000,139400
