Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,5.440000,5.470000,5.110000,5.140000,5.140000,5501400
2022-07-12,5.130000,5.320000,5.070000,5.190000,5.190000,4802100
2022-07-13,5.020000,5.380000,4.980000,5.310000,5.310000,5618500
2022-07-14,5.170000,5.340000,5.080000,5.290000,5.290000,5174900
2022-07-15,5.380000,5.440000,5.151000,5.410000,5.410000,4729100
2022-07-18,5.570000,5.810000,5.500000,5.600000,5.600000,7432500
2022-07-19,5.700000,5.810000,5.555000,5.640000,5.640000,6173200
2022-07-20,5.660000,6.010000,5.630000,5.890000,5.890000,8719800
2022-07-21,5.820000,6.340000,5.750000,6.320000,6.320000,9439300
2022-07-22,6.300000,6.370000,5.810000,5.890000,5.890000,6061400
2022-07-25,5.930000,5.930000,5.690000,5.770000,5.770000,4157000
2022-07-26,5.680000,5.850000,5.580000,5.750000,5.750000,4068000
2022-07-27,5.850000,5.980000,5.630000,5.920000,5.920000,5445400
2022-07-28,6.100000,6.885000,6.070000,6.380000,6.380000,12208500
2022-07-29,6.320000,6.340000,6.020000,6.220000,6.220000,5831500
2022-08-01,6.030000,6.730000,5.930000,6.710000,6.710000,14225400
2022-08-02,6.570000,7.200000,6.550000,6.960000,6.960000,15647700
2022-08-03,7.110000,7.500000,6.980000,7.480000,7.480000,13699500
2022-08-04,7.680000,8.099000,7.410000,7.950000,7.950000,21223100
2022-08-05,7.770000,8.085000,7.570000,8.050000,8.050000,14847500
2022-08-08,8.150000,8.970000,7.760000,7.790000,7.790000,19308000
2022-08-09,7.610000,7.622000,6.950000,6.960000,6.960000,13261600
2022-08-10,7.370000,7.380000,6.910000,6.990000,6.990000,12405100
2022-08-11,7.050000,7.050000,6.560000,6.690000,6.690000,16518900
2022-08-12,6.780000,7.280000,6.560000,6.830000,6.830000,18308400
2022-08-15,6.875000,7.100000,6.620000,6.720000,6.720000,9505300
2022-08-16,6.680000,7.010000,6.380000,6.900000,6.900000,12635300
2022-08-17,6.760000,6.760000,6.510000,6.570000,6.570000,7928700
2022-08-18,6.550000,6.660000,6.440000,6.600000,6.600000,7621200
2022-08-19,6.420000,6.450000,5.965000,6.000000,6.000000,9997500
