Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,330.609985,332.679993,329.429993,331.070007,327.162537,1342600
2022-07-12,330.000000,331.989990,323.359985,323.589996,319.770782,2058200
2022-07-13,322.010010,324.679993,320.829987,322.459991,318.654114,2564200
2022-07-14,317.540009,327.760010,315.510010,326.890015,323.031891,2615700
2022-07-15,331.970001,335.329987,328.170013,331.600006,327.686218,3340300
2022-07-18,330.119995,331.970001,319.709991,321.769989,317.972260,2116300
2022-07-19,324.089996,327.380005,321.839996,326.200012,322.350006,1628100
2022-07-20,327.089996,327.820007,320.309998,322.029999,318.229187,2051000
2022-07-21,321.450012,328.049988,319.709991,326.920013,323.061493,1692100
2022-07-22,326.950012,329.220001,325.829987,328.750000,324.869904,1850800
2022-07-25,328.750000,332.269989,328.059998,331.549988,327.636841,1741700
2022-07-26,330.989990,332.570007,328.609985,331.559998,327.646729,1812300
2022-07-27,328.980011,330.869995,325.190002,328.940002,325.057648,1643000
2022-07-28,330.239990,333.589996,321.739990,330.799988,326.895660,2350900
2022-07-29,331.059998,331.059998,326.820007,329.690002,325.798798,3399900
2022-08-01,327.510010,330.429993,323.459991,324.149994,320.324188,2464300
2022-08-02,327.190002,328.980011,319.359985,320.200012,316.420807,3405700
2022-08-03,320.630005,320.980011,310.220001,313.829987,310.125977,5152200
2022-08-04,310.200012,310.250000,302.239990,305.790009,302.180908,4696300
2022-08-05,302.480011,305.320007,300.309998,301.320007,297.763641,2814300
2022-08-08,300.649994,306.119995,296.529999,302.500000,298.929718,3218900
2022-08-09,305.089996,306.700012,301.299988,303.019989,299.443542,2122900
2022-08-10,304.500000,307.130005,302.589996,304.609985,301.014801,2351000
2022-08-11,301.029999,305.420013,299.630005,301.170013,297.615417,2198800
2022-08-12,302.920013,308.489990,301.299988,308.079987,305.437744,2305100
2022-08-15,309.209991,314.609985,307.309998,313.940002,311.247498,2795800
2022-08-16,313.929993,314.369995,309.630005,310.309998,307.648590,2248000
2022-08-17,310.010010,320.600006,310.010010,316.820007,314.102783,2747200
2022-08-18,316.750000,318.959991,314.200012,316.720001,314.003632,2261600
2022-08-19,317.510010,325.750000,317.500000,322.769989,320.001740,3393100
2022-08-22,322.279999,325.769989,320.390015,323.100006,320.328918,2488000
2022-08-23,321.239990,321.839996,313.869995,315.100006,312.397522,2962000
2022-08-24,316.470001,320.859985,315.220001,318.869995,316.135223,1827000
2022-08-25,320.600006,323.369995,315.829987,323.140015,320.368591,1977900
2022-08-26,323.589996,324.589996,315.269989,315.559998,312.853607,1858000
2022-08-29,313.339996,314.869995,309.679993,310.149994,307.489960,1697000
2022-08-30,310.140015,311.970001,306.010010,307.040009,304.406647,1980300
2022-08-31,307.140015,308.820007,301.109985,301.230011,298.646484,3183500
2022-09-01,301.000000,309.410004,300.500000,309.130005,306.478729,2939200
2022-09-02,310.109985,310.220001,299.760010,301.329987,298.745605,2525400
2022-09-06,302.950012,312.829987,302.230011,306.820007,304.188538,2322200
2022-09-07,308.769989,312.399994,304.880005,311.600006,308.927582,2228100
2022-09-08,311.950012,315.730011,307.589996,315.500000,312.794098,2212500
2022-09-09,316.450012,320.170013,315.220001,317.700012,314.975250,2177000
2022-09-12,318.890015,320.450012,314.880005,315.220001,312.516510,2077400
2022-09-13,310.010010,312.309998,304.989990,306.480011,303.851471,2272400
2022-09-14,307.209991,311.809998,305.899994,309.609985,306.954620,2002900
2022-09-15,309.709991,312.279999,305.750000,309.470001,306.815826,2348100
2022-09-16,307.970001,311.959991,306.739990,308.890015,306.240814,4380200
2022-09-19,306.480011,306.519989,297.649994,305.089996,302.473358,2515300
2022-09-20,303.820007,303.820007,298.940002,301.730011,299.142212,1816800
2022-09-21,301.000000,304.529999,296.320007,296.480011,293.937225,2241200
2022-09-22,300.799988,312.609985,299.959991,310.869995,308.203827,5918300
2022-09-23,311.869995,315.179993,305.119995,311.459991,308.788757,4572600
2022-09-26,308.799988,311.730011,304.880005,307.500000,304.862701,3760000
2022-09-27,309.149994,313.950012,308.320007,311.100006,308.431824,3019600
2022-09-28,333.529999,341.700012,328.100006,334.380005,331.512177,9436300
2022-09-29,333.970001,334.679993,327.269989,330.010010,327.179688,3743100
2022-09-30,327.149994,329.510010,322.420013,323.350006,320.576782,4474100
2022-10-03,325.989990,329.350006,317.049988,321.549988,318.792206,3340500
2022-10-04,322.179993,330.100006,321.779999,329.890015,327.060699,2622500
2022-10-05,328.299988,333.850006,327.519989,331.779999,328.934479,2186100
2022-10-06,327.940002,339.260010,326.869995,332.950012,330.094482,4299200
2022-10-07,332.970001,333.070007,324.899994,326.660004,323.858368,2601600
2022-10-10,326.230011,327.010010,320.239990,323.890015,321.112152,1956200
2022-10-11,320.000000,329.029999,319.429993,327.600006,324.790344,2598900
2022-10-12,327.380005,333.649994,323.880005,324.570007,321.786316,1764700
