Date,Open,High,Low,Close,Adj Close,Volume
2022-12-29,4.750000,4.850000,4.500000,4.570000,4.570000,159600
2022-12-30,4.790000,4.850000,4.600000,4.738000,4.738000,27100
2023-01-03,4.600000,4.840000,4.600000,4.650000,4.650000,18500
2023-01-04,4.850000,4.850000,4.610000,4.620000,4.620000,37300
2023-01-05,4.650000,4.790000,4.600000,4.700000,4.700000,21800
2023-01-06,4.790000,4.790000,4.600000,4.670000,4.670000,14400
2023-01-09,4.680000,4.680000,4.609000,4.650000,4.650000,4100
2023-01-10,4.950000,4.950000,4.700000,4.930000,4.930000,10200
2023-01-11,4.910000,5.670000,4.760000,4.900000,4.900000,33500
2023-01-12,4.930000,4.930000,4.810000,4.850000,4.850000,5400
2023-01-13,4.860000,5.080000,4.800000,4.800000,4.800000,5000
2023-01-17,4.970000,4.970000,4.710000,4.710000,4.710000,4800
2023-01-18,4.700000,4.800000,4.700000,4.731000,4.731000,2400
2023-01-19,4.793000,4.800000,4.650000,4.650000,4.650000,7200
2023-01-20,4.780000,4.780000,4.715000,4.770000,4.770000,400
2023-01-23,4.750000,4.770000,4.650000,4.770000,4.770000,5100
2023-01-24,4.770000,4.770000,4.580000,4.750000,4.750000,11100
2023-01-25,4.760000,4.780000,4.620000,4.780000,4.780000,16200
2023-01-26,4.600000,4.770000,4.388000,4.610000,4.610000,53500
2023-01-27,4.510000,4.594000,4.260000,4.540000,4.540000,12600
2023-01-30,4.540000,4.540000,4.280000,4.350000,4.350000,17500
2023-01-31,4.490000,4.490000,4.080000,4.255000,4.255000,10000
2023-02-01,4.210000,4.345000,3.930000,4.093000,4.093000,12000
2023-02-02,4.318000,4.350000,3.685000,4.160000,4.160000,24300
2023-02-03,3.990000,4.000000,3.760000,3.990000,3.990000,12500
2023-02-06,3.986000,3.986000,3.932000,3.950000,3.950000,2100
2023-02-07,3.990000,4.070000,3.900000,4.040000,4.040000,14700
2023-02-08,3.910000,4.270000,3.910000,4.000000,4.000000,57900
2023-02-09,4.210000,4.210000,4.110000,4.110000,4.110000,500
2023-02-10,4.240000,4.240000,4.204000,4.210000,4.210000,6000
2023-02-13,4.011000,4.300000,4.011000,4.210000,4.210000,3800
2023-02-14,4.280000,4.425000,4.150000,4.240000,4.240000,19400
2023-02-15,4.425000,4.450000,4.330000,4.400000,4.400000,7600
2023-02-16,4.340000,4.343000,4.160000,4.290000,4.290000,14100
2023-02-17,4.446000,4.446000,4.077000,4.180000,4.180000,3300
2023-02-21,4.170000,4.180000,4.030000,4.180000,4.180000,3000
2023-02-22,4.180000,4.180000,4.000000,4.010000,4.010000,3300
2023-02-23,4.000000,4.195000,4.000000,4.010000,4.010000,500
2023-02-24,4.180000,4.180000,4.000000,4.000000,4.000000,4500
2023-02-27,4.050000,4.050000,3.850000,3.850000,3.850000,6300
