Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,71.000000,71.970001,70.900002,71.570000,70.395111,4543300
2022-07-12,71.599998,71.940002,70.070000,70.410004,69.254158,7140800
2022-07-13,69.050003,70.529999,68.680000,70.029999,68.880394,6454800
2022-07-14,69.160004,69.580002,68.230003,69.449997,68.309906,4915500
2022-07-15,70.260002,70.870003,70.000000,70.739998,69.578735,5134100
2022-07-18,71.250000,71.709999,70.150002,70.209999,69.057426,4642300
2022-07-19,70.639999,72.300003,70.260002,72.239998,71.054108,7160300
2022-07-20,72.550003,73.099998,72.160004,72.589996,71.398361,5655700
2022-07-21,72.150002,74.629997,72.129997,74.540001,73.316353,7005100
2022-07-22,74.820000,75.290001,74.260002,74.900002,73.670441,6659800
2022-07-25,75.099998,75.430000,74.339996,74.860001,73.631104,5721600
2022-07-26,74.800003,75.300003,73.709999,74.029999,72.814728,7284400
2022-07-27,74.379997,76.120003,74.320000,75.870003,74.624519,6677200
2022-07-28,75.639999,77.279999,75.309998,77.040001,75.775322,5688100
2022-07-29,77.010002,78.160004,77.000000,77.839996,76.562180,5926600
2022-08-01,77.180000,77.809998,76.699997,77.440002,76.168747,5227500
2022-08-02,76.989998,77.260002,76.059998,76.349998,75.096642,6403400
2022-08-03,76.720001,77.760002,76.300003,77.370003,76.099899,6127800
2022-08-04,77.449997,77.849998,77.110001,77.400002,76.129402,3656200
2022-08-05,76.269997,77.400002,76.000000,77.349998,76.080223,4858100
2022-08-08,76.919998,77.430000,76.269997,76.470001,75.214676,4733500
2022-08-09,76.209999,76.910004,75.839996,76.769997,75.509750,4243700
2022-08-10,77.589996,77.980003,77.199997,77.540001,76.267113,5258500
2022-08-11,77.949997,78.000000,77.080002,77.160004,75.893349,5554600
2022-08-12,78.000000,79.419998,77.660004,79.150002,77.850677,6692300
2022-08-15,78.839996,79.419998,78.500000,79.110001,77.811333,3733500
2022-08-16,78.900002,79.660004,78.849998,79.519997,78.214600,6185100
2022-08-17,79.000000,79.769997,78.949997,79.250000,77.949043,5185100
2022-08-18,79.279999,79.879997,79.010002,79.320000,78.017891,4120500
2022-08-19,79.029999,79.129997,78.440002,78.660004,77.368721,4679000
2022-08-22,77.930000,77.930000,76.169998,76.459999,75.204834,5757700
2022-08-23,76.250000,77.010002,76.250000,76.410004,75.155663,4432300
2022-08-24,76.470001,76.559998,76.050003,76.169998,74.919601,3876400
2022-08-25,76.339996,76.910004,75.980003,76.889999,75.627777,3523400
2022-08-26,76.980003,77.260002,74.570000,74.650002,73.424545,4904100
2022-08-29,74.110001,74.860001,74.070000,74.190002,72.972099,4295500
2022-08-30,74.419998,74.669998,73.459999,74.139999,72.922913,5099100
2022-08-31,74.459999,75.150002,74.040001,74.150002,72.932755,8612900
2022-09-01,74.120003,75.370003,73.529999,75.300003,74.063873,8139800
2022-09-02,75.739998,76.769997,74.480003,74.680000,73.454056,11027700
2022-09-06,74.699997,75.190002,73.550003,73.830002,72.618011,7090100
2022-09-07,73.680000,74.669998,73.419998,74.489998,73.267174,5792600
2022-09-08,74.029999,74.800003,73.610001,74.650002,73.424545,6897100
2022-09-09,74.650002,76.010002,74.440002,75.910004,74.663872,7762400
2022-09-12,76.629997,77.379997,76.269997,77.080002,75.814651,15628900
2022-09-13,76.059998,79.410004,75.779999,76.040001,74.791733,29476500
2022-09-14,75.790001,75.870003,71.769997,72.120003,70.936081,21601400
2022-09-15,71.500000,72.089996,69.750000,70.239998,69.086945,12478100
2022-09-16,69.580002,69.800003,68.250000,68.830002,67.700089,23412000
2022-09-19,68.199997,69.129997,67.910004,69.070000,67.936157,8364000
2022-09-20,68.269997,68.459999,67.449997,68.110001,66.991913,8624300
2022-09-21,68.709999,68.879997,66.739998,66.750000,65.654236,6768200
2022-09-22,66.849998,66.940002,65.839996,66.029999,64.946053,7190700
2022-09-23,65.349998,65.440002,63.869999,64.550003,63.490353,9282500
2022-09-26,64.330002,64.919998,63.389999,63.450001,62.408409,6897800
2022-09-27,64.160004,64.400002,62.040001,62.419998,61.395313,9284800
2022-09-28,62.619999,63.349998,62.250000,63.070000,62.034649,8549900
2022-09-29,62.290001,62.599998,60.779999,61.400002,60.392067,8882100
2022-09-30,61.259998,62.139999,61.060001,61.070000,60.067474,9794400
2022-10-03,60.990002,63.240002,60.810001,63.080002,62.044483,9661400
2022-10-04,63.799999,65.830002,63.799999,65.690002,64.611633,9892600
2022-10-05,65.339996,67.190002,64.980003,66.639999,65.546036,9201600
2022-10-06,66.330002,66.809998,65.220001,65.300003,64.228043,6992000
2022-10-07,64.489998,64.620003,62.740002,63.290001,62.251038,7137900
2022-10-10,63.610001,63.900002,62.020000,62.570000,61.542854,6407200
2022-10-11,61.849998,63.099998,61.650002,62.410000,61.701038,7376900
2022-10-12,62.619999,64.279999,62.169998,63.779999,63.055473,9008600
2022-10-13,62.480000,65.709999,62.270000,65.199997,64.459343,10147100
2022-10-14,65.720001,66.610001,64.209999,64.309998,63.579453,8044500
2022-10-17,65.879997,67.570000,65.870003,67.019997,66.258667,11368300
2022-10-18,68.000000,68.580002,66.330002,67.029999,66.268555,6688600
2022-10-19,66.489998,67.190002,65.779999,66.300003,65.546852,5506000
2022-10-20,67.529999,69.919998,67.190002,69.250000,68.463333,17600500
2022-10-21,71.029999,72.790001,70.309998,72.699997,71.874138,15652600
2022-10-24,72.930000,73.690002,71.779999,72.919998,72.091644,11489400
2022-10-25,73.449997,74.110001,72.610001,73.139999,72.309135,9137700
2022-10-26,72.610001,75.720001,72.550003,74.820000,73.970062,10693600
2022-10-27,74.750000,75.879997,74.550003,75.150002,74.296318,7053000
2022-10-28,75.300003,77.680000,75.300003,77.360001,76.481201,8758100
2022-10-31,76.500000,78.330002,76.400002,78.070000,77.183144,12349000
2022-11-01,78.599998,79.230003,76.339996,77.110001,76.234047,7753000
2022-11-02,76.650002,77.430000,75.010002,75.120003,74.266655,7524300
2022-11-03,74.720001,75.690002,74.050003,75.029999,74.177673,6761200
2022-11-04,75.940002,76.669998,74.239998,76.000000,75.136658,7219000
2022-11-07,76.110001,77.089996,75.489998,76.739998,75.868248,5394300
2022-11-08,76.949997,77.139999,75.019997,75.639999,74.780754,9104200
2022-11-09,75.379997,76.540001,75.000000,75.660004,74.800522,6013700
2022-11-10,77.699997,78.470001,76.709999,77.169998,76.293358,10437300
2022-11-11,77.129997,77.889999,76.570000,77.739998,76.856888,7712900
2022-11-14,77.480003,79.540001,77.330002,78.529999,77.637917,7153000
2022-11-15,78.930000,80.680000,78.010002,79.180000,78.280533,7618500
2022-11-16,79.120003,80.230003,78.860001,79.889999,78.982468,6011900
2022-11-17,79.169998,79.580002,78.190002,79.199997,78.300301,5717300
2022-11-18,80.000000,80.459999,78.849998,79.730003,78.824287,6107000
2022-11-21,79.570000,80.099998,78.900002,79.820000,78.913261,5235400
2022-11-22,79.889999,82.209999,79.830002,82.120003,81.187134,8796200
2022-11-23,82.120003,82.919998,81.779999,82.559998,81.622139,6347900
2022-11-25,82.849998,83.489998,82.540001,82.720001,81.780319,2754900
2022-11-28,82.110001,82.139999,81.070000,81.389999,80.465431,5112200
2022-11-29,81.330002,81.500000,80.519997,80.849998,79.931557,4928200
2022-11-30,80.470001,83.180000,80.000000,83.029999,82.086800,9610300
2022-12-01,83.050003,84.529999,82.349998,84.110001,83.154533,6127200
2022-12-02,83.199997,83.620003,82.580002,83.349998,82.403160,4798900
2022-12-05,82.410004,82.419998,79.410004,79.430000,78.527687,9102900
2022-12-06,79.349998,79.820000,78.059998,78.910004,78.013603,7656100
2022-12-07,78.669998,79.440002,78.580002,78.779999,77.885071,5105500
2022-12-08,79.129997,80.209999,78.529999,80.070000,79.160423,5918700
2022-12-09,79.650002,80.360001,79.540001,79.860001,78.952805,6850800
2022-12-12,80.309998,81.410004,79.940002,81.279999,80.356674,15807600
2022-12-13,84.940002,85.580002,79.699997,80.559998,79.644852,22812200
2022-12-14,80.809998,82.889999,80.570000,81.820000,80.890541,11183100
2022-12-15,80.790001,81.029999,79.459999,80.070000,79.160423,8196800
2022-12-16,79.959999,80.459999,79.480003,79.580002,78.675995,19200700
2022-12-19,79.919998,81.099998,79.680000,80.500000,79.585541,7738800
2022-12-20,80.500000,81.489998,80.349998,80.940002,80.020538,6390200
2022-12-21,81.349998,82.139999,80.940002,81.500000,80.574173,5932400
2022-12-22,80.940002,81.169998,79.430000,80.489998,79.575645,8181400
2022-12-23,80.510002,80.900002,79.989998,80.849998,79.931557,4129100
2022-12-27,80.879997,81.470001,80.610001,80.980003,80.060089,4290700
